nation,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,628.407398,700.5413075,747.6206976,834.8776273,903.9301908,878.2476994,875.1664717,1199.845371
Albania,4240.989075,4396.268087,4440.318245,4403.681751,4259.312724,4237.714993,4364.129775,4214.536998,4051.893112,4367.258178,3909.449538,2751.928843,2574.612946,2860.432005,3143.712763,3606.07776,3969.524844,3586.678366,4056.877359,4475.020197,4805.2969,5138.607189,5275.768543,5557.601187,5862.819413,6161.607781,6446.534704,6809.969911,7295.487622,7449.482659
Algeria,6358.195913,6336.233525,6522.492839,6653.775974,6806.79137,6846.561613,6676.663837,6448.007099,6215.287699,6323.139205,6215.434492,5991.864083,5956.038594,5699.93287,5530.53533,5631.145197,5761.212583,5733.717075,5938.585822,6041.962848,6086.944807,6154.7711,6349.720724,6687.51556,6930.780943,7175.964274,7210.421943,7315.592966,7378.874526,7421.123103
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,3108.648497,3106.849007,3267.34261,3365.826522,3292.418895,3190.083934,3054.023117,2749.383291,2000.827299,2004.14351,2146.655616,2322.503202,2443.231809,2546.189246,2562.770044,2569.025475,2573.182323,2856.751618,2860.195408,3083.743707,3611.492632,4163.760086,4875.357914,5381.932554,5277.682655
Antigua and Barbuda,6034.224877,6363.40182,6447.159043,6823.664399,7587.217232,8328.813703,9583.866481,10622.33008,11455.05111,12318.73035,12713.44765,12904.20426,12814.58885,13201.45921,13675.61677,12762.37074,13270.09857,13558.03398,13800.00292,14029.28202,13928.39352,13960.60835,14068.53999,14557.11129,15362.11396,15791.64295,17660.39315,19031.75857,18846.10545,17052.05424
Argentina,10067.27896,9356.303606,8766.91989,8980.229058,9051.236386,8246.647369,8768.683361,8893.238696,8540.065514,7786.102564,7491.556869,8323.25477,9189.800138,9602.011727,10028.25816,9616.445981,10018.03417,10694.43097,10970.78892,10476.30618,10280.17349,9727.067973,8584.8859,9258.268166,10002.55243,10819.30039,11623.11092,12505.73861,13219.53596,13201.71543
Armenia,,,,,,,,,,,2936.04207,2616.618609,1550.285801,1447.237793,1562.397956,1705.119848,1834.161175,1917.676238,2074.734283,2156.064157,2294.126316,2522.880558,2860.065329,3261.143626,3601.351086,4097.815434,4633.360405,5261.315105,5610.616883,4793.552985
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,20042.15541,20398.04513,20705.69184,19975.01158,20667.57463,21437.06688,22091.14843,22205.15338,23015.6606,23639.74674,23979.17996,23608.25627,23459.55002,24160.65282,24824.67176,25527.6501,26247.58623,26967.8528,27870.53633,28975.72017,29763.28444,29946.07422,30715.79561,31297.81298,32217.8379,32698.43539,33208.72325,33848.10735,34522.01134,34259.08429
Austria,21154.19896,21090.19178,21475.26876,22173.80135,22187.256,22723.20928,23218.88659,23506.64395,24110.99741,24893.82178,25664.80251,26222.24157,26773.49571,26378.09423,26961.82281,27561.86965,28134.38261,28710.2428,29700.17027,30616.49708,31697.17686,31737.42396,32098.14948,32219.13519,32809.01084,33376.79345,34372.77824,35575.81226,36193.37072,34673.09305
Azerbaijan,,,,,,,,,,5440.067235,4753.926502,4647.933751,3543.406632,2683.797458,2126.154369,1853.794686,1859.025573,1948.028735,2122.521692,2259.599423,2489.974032,2715.358874,2980.861493,3289.700123,3593.668509,4496.143936,5981.242209,7395.156017,8100.567733,8752.082952
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
