Country Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Albania,,,,,,,,,,,,778.1052247,858.3066823,756.1303211,770.1459401,820.5594716,884.5861575,917.8533237,1003.85579,856.8600398,1142.51488,985.3174851,965.2464475,1000.147621,1018.361994,914.6578571,956.6160449,908.379747,908.7483931,885.0035805,809.2457082,566.1953134,414.2446225,411.5334981,444.4175483,422.495795,455.2631511,391.0190663,423.6533157,572.9910458,578.9625356,584.8080868,654.0362685,676.7666558,645.7594644,746.1633349,687.1143791,692.1082422,664.2719366,,
Algeria,,,,,,,,,,,,244.7428985,275.5356971,320.5478265,334.253965,344.8578535,381.2909068,413.3431989,492.8329012,604.382346,595.8683555,627.2792621,789.7978735,826.1108634,793.2006732,803.1734856,881.219846,846.3097335,869.9149569,840.5723387,877.7607766,906.0962704,909.2102657,888.7423574,838.7463824,852.8127306,812.5904298,823.7703421,839.5964351,884.52245,885.7586104,875.2583527,916.053211,962.8534157,957.0808986,981.8735831,1039.114368,1086.798317,1078.420289,,
American Samoa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Andorra,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Angola,,,,,,,,,,,,619.7995622,652.9273698,636.0785411,634.6818116,604.6894023,582.5313813,559.1992879,598.252269,588.6754513,580.9775498,565.0703828,537.7146097,533.0499557,520.3568465,534.7622237,525.9384662,524.9998959,532.8480147,530.7318753,551.8005977,547.496752,532.401341,532.8852816,520.0749164,510.0831948,513.7422761,514.5709362,503.5652226,517.2058936,520.8158987,530.7941176,540.489709,555.7035443,580.3985197,545.8673939,578.6725828,613.1731397,608.856453,,
Antigua and Barbuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,,,,,,,,,,,,407.165215,431.8732495,462.4090945,467.8198778,471.7545745,516.2445746,558.5675928,628.6124725,726.9861069,807.3553171,882.9704029,957.5602278,997.5210213,977.7627915,997.406739,1020.45236,1044.450867,1091.984711,1109.904065,1029.868374,1085.983578,1105.1485,1125.641135,1151.756416,1218.605598,1240.585758,1235.99573,1277.462012,1294.478978,1301.500307,1309.441586,1372.920236,1408.191417,1461.652276,1497.359784,1529.872153,1570.9587,1638.684581,,
Argentina,,,,,,,,,,,,1380.623642,1380.731211,1414.150795,1418.553949,1381.952685,1406.529662,1421.91239,1424.865992,1482.577657,1485.41206,1429.349377,1417.343246,1422.33841,1453.937278,1367.675019,1430.809371,1487.003016,1515.775613,1451.679581,1417.770292,1440.946194,1495.120208,1474.404478,1556.980803,1551.14688,1578.507921,1640.885396,1663.721045,1653.627182,1650.138034,1549.789012,1470.042295,1552.909581,1753.985408,1729.130602,1866.343239,1861.462001,1914.576092,,
Armenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2171.413902,2309.758159,1193.349936,646.5132936,415.1280439,506.3339837,557.6648816,589.8359369,605.9861395,589.2378188,651.2103637,651.7854288,610.3394376,643.7984238,680.3089903,817.312006,829.7281223,925.9711305,973.9731116,,
Aruba,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Australia,3063.598546,3115.806544,3172.965928,3284.018265,3349.422405,3463.206884,3546.562527,3692.770574,3763.593971,3792.954416,4063.404493,3989.642112,4035.212871,4264.275037,4294.177658,4345.857626,4405.686596,4671.223224,4629.614152,4683.822516,4737.476178,4694.647283,4817.499012,4561.454877,4651.505404,4621.398655,4620.436498,4764.970272,4770.750414,4998.037397,5052.768516,4926.753066,4957.359245,5160.695081,5111.061327,5121.513944,5403.637158,5470.00054,5554.753888,5610.95847,5644.598757,5502.961933,5675.982373,5686.289293,5649.959756,5863.847647,5910.213113,5906.228497,6071.025299,5995.913124,
Austria,1546.112153,1553.830958,1675.876578,1825.013943,1857.380457,1855.961406,1906.403941,1930.362497,2060.717196,2198.537378,2431.591705,2522.117962,2639.280959,2843.373494,2743.125331,2662.916887,2872.086864,2800.89959,2896.597379,3138.675497,3065.536873,2898.479841,2830.208608,2847.192797,2957.362288,3055.592323,3063.582287,3175.359831,3200.526662,3134.156249,3213.899525,3381.118283,3256.01518,3229.262231,3221.31646,3356.692456,3559.839427,3536.644053,3593.503307,3580.771554,3559.356503,3758.789161,3789.38234,3973.367168,4003.082682,4128.478253,4067.891236,4005.884743,3987.800779,3876.450471,
Azerbaijan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3609.302975,3610.645028,2239.50149,2032.555037,2093.194682,1658.685751,1510.498519,1429.829038,1475.925692,1386.0704,1420.755492,1404.857356,1401.511271,1456.271882,1522.320176,1591.186687,1600.320583,1407.479053,1539.959217,,
"Bahamas, The",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,,,,,,,,,,,,6187.314468,5771.445688,8221.657502,8754.668642,7843.699667,9512.984174,8331.229488,8083.078895,9102.785621,8095.170852,8599.569883,9363.741645,8719.448949,9002.877518,10058.11409,8299.297806,7924.862566,8868.538116,8748.480146,8824.388581,7925.148327,8199.099313,8547.965727,8811.215958,8533.974045,8373.514397,8913.063878,9356.922755,8896.301599,9022.910346,9126.947127,9456.511513,9702.599239,9793.479819,10308.25815,11124.08241,11525.09348,11895.53692,
Bangladesh,,,,,,,,,,,,80.05817805,80.52397042,84.80715863,85.27635726,85.09954528,88.11164769,87.81510036,88.42097666,89.49120546,92.94538242,92.34608923,94.98837077,94.7417869,93.67703883,96.60830195,100.9399362,97.03417411,104.2012884,106.9465194,110.1423773,106.2901262,109.880004,113.645817,116.3471255,124.1114965,122.4328625,125.4622058,128.2609578,127.645368,132.1546387,141.085914,142.3620347,146.3569176,149.5359975,155.9409746,163.2992104,167.9339344,174.6498603,
Barbados,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Belarus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4470.31112,4348.440259,3620.693031,3076.667643,2615.723086,2427.70257,2497.047244,2505.584659,2465.388817,2408.868959,2467.166417,2484.789751,2544.282116,2633.085207,2735.822034,2748.989666,2941.587465,2891.981035,2907.286034,
Belgium,2528.67639,2575.605499,2810.479497,3045.459442,3025.301591,3121.18967,3057.635675,3190.959506,3600.729927,3890.356808,4142.768209,4100.072366,4474.920177,4722.632984,4619.57412,4320.469627,4625.624299,4593.463653,4831.841302,4982.413337,4749.466843,4418.493707,4207.99513,4156.148539,4336.85172,4473.625482,4633.745691,4728.571429,4771.157342,4798.551016,4844.192066,5055.924834,5092.981583,4954.2367,5225.39444,5304.040723,5586.590529,5579.609076,5659.707929,5689.223548,5706.984003,5673.665792,5454.659828,5709.092373,5650.927785,5600.435171,5509.312798,5366.705252,5470.735074,5168.156489
Belize,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Benin,,,,,,,,,,,,391.7758971,400.7087384,399.6601198,398.5144122,400.1375392,377.9773947,380.8918057,385.2533226,381.3862697,380.0632259,368.4772364,370.304986,369.5514325,367.5243401,374.3230405,366.8834979,361.4521265,360.0602501,351.039683,346.3961454,339.7766699,335.6196776,331.2222363,326.5242103,322.7159156,364.1858516,366.6097553,351.2598194,355.6658767,297.7776596,308.0330036,318.2937655,325.625681,327.4324539,325.2569454,343.2490901,344.4482942,346.9141267,
Bermuda,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bhutan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bolivia,,,,,,,,,,,,239.8444973,259.1493164,266.7592785,279.023624,314.9522918,334.885331,349.3337535,375.5306496,400.3132222,455.3755317,466.994348,481.1732047,462.6458936,453.0570388,436.6769038,416.4092468,379.5625918,384.8306141,403.0739759,415.8573888,421.4444779,429.6278953,441.4215311,476.2263306,528.9823257,573.9949565,575.2812301,606.1859788,580.7436833,593.6972151,515.9792166,457.5346537,448.0817145,505.2634196,479.848644,482.6901847,600.0318127,587.3667864,
Bosnia and Herzegovina,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1627.130037,1519.424557,1131.659085,1016.202958,425.1791558,459.7669414,539.6801004,812.3474434,974.0897864,931.6077717,1179.614997,1122.892875,1169.210284,1165.192158,1273.479784,1334.73533,1426.422615,1481.575583,1587.554001,
Botswana,,,,,,,,,,,,,,,,,,,,,,760.9879899,772.0704007,754.7911331,744.4307773,762.5911555,810.0222297,782.1146729,892.130716,925.9202809,932.9690241,950.8060291,1033.130735,1007.73092,966.7916018,964.5895623,914.4941657,938.6278922,1039.744004,1045.005535,1066.439717,1055.569501,1067.694181,1033.106232,998.0765545,1024.985726,1009.742974,1065.299251,1101.960209,
Brazil,,,,,,,,,,,,709.3509873,742.6974159,794.7181303,826.1853887,842.7945684,863.3511034,872.1322322,906.0794237,941.043512,936.1990375,877.3996083,871.5936815,873.1159275,908.965501,950.0445206,974.2407078,992.4730533,987.1750969,988.9320812,937.6582552,939.7920687,934.6036258,943.3333768,978.1405046,996.4438932,1033.659587,1069.979743,1079.510808,1087.797594,1086.037609,1077.085523,1093.32471,1096.705389,1140.677582,1157.841858,1185.006648,1238.123323,1294.608795,
Brunei Darussalam,,,,,,,,,,,,1304.443953,1241.044734,2323.460876,3847.424363,4602.133151,5834.598692,6069.567018,5467.359421,5498.888978,6998.984603,6529.44781,6819.013243,7003.983308,7839.918096,7990.923889,7109.882781,7088.802827,5625.589431,6332.483398,6856.084483,7562.058817,7901.096516,7413.158356,6761.414675,7838.297815,7663.771831,7710.368416,7491.41347,7453.183636,7358.960749,6687.825225,6389.124991,7254.387371,7156.069014,6860.771465,8618.542716,8626.692859,9251.045172,
